zones,beginning_of_datetime
b8:27:eb:c2:5e:fa,2018-10-16T13:19:02
b8:27:eb:c2:5e:fa,2018-10-16T13:19:11
b8:27:eb:c2:5e:fa,2018-10-16T13:19:16
b8:27:eb:c2:5e:fa,2018-10-16T13:19:22
b8:27:eb:c2:5e:fa,2018-10-16T13:19:29
b8:27:eb:ef:5e:d6,2018-10-16T13:19:33
b8:27:eb:ef:5e:d6,2018-10-16T13:19:47
b8:27:eb:ef:5e:d6,2018-10-16T13:19:56
b8:27:eb:ef:5e:d6,2018-10-16T13:20:11
b8:27:eb:ef:5e:d6,2018-10-16T13:20:20
b8:27:eb:ef:5e:d6,2018-10-16T13:20:32
b8:27:eb:ef:5e:d6,2018-10-16T13:20:40
b8:27:eb:ef:5e:d6,2018-10-16T13:20:44
b8:27:eb:ef:5e:d6,2018-10-16T13:20:48
b8:27:eb:ef:5e:d6,2018-10-16T13:20:54
b8:27:eb:a8:46:4b,2018-10-16T13:21:03
b8:27:eb:a8:46:4b,2018-10-16T13:21:08
b8:27:eb:a8:46:4b,2018-10-16T13:21:12
b8:27:eb:ef:5e:d6,2018-10-16T13:21:16
b8:27:eb:ef:5e:d6,2018-10-16T13:21:20
b8:27:eb:ef:5e:d6,2018-10-16T13:21:28
b8:27:eb:ef:5e:d6,2018-10-16T13:21:32
b8:27:eb:ef:5e:d6,2018-10-16T13:21:37
b8:27:eb:ef:5e:d6,2018-10-16T13:21:43
b8:27:eb:ef:5e:d6,2018-10-16T13:21:56
b8:27:eb:d4:ee:4b,2018-10-16T13:22:01
b8:27:eb:ef:5e:d6,2018-10-16T13:22:14
b8:27:eb:ef:5e:d6,2018-10-16T13:22:23
b8:27:eb:d4:ee:4b,2018-10-16T13:22:28
b8:27:eb:d4:ee:4b,2018-10-16T13:22:33
b8:27:eb:ef:5e:d6,2018-10-16T13:22:37
b8:27:eb:d4:ee:4b,2018-10-16T13:22:42
b8:27:eb:d4:ee:4b,2018-10-16T13:22:46
b8:27:eb:d4:ee:4b,2018-10-16T13:22:51
b8:27:eb:ef:5e:d6,2018-10-16T13:22:56
b8:27:eb:d4:ee:4b,2018-10-16T13:23:01
b8:27:eb:d4:ee:4b,2018-10-16T13:23:06
b8:27:eb:d4:ee:4b,2018-10-16T13:23:11
b8:27:eb:d4:ee:4b,2018-10-16T13:23:16
b8:27:eb:d4:ee:4b,2018-10-16T13:23:24
b8:27:eb:d4:ee:4b,2018-10-16T13:23:29
b8:27:eb:ef:5e:d6,2018-10-16T13:23:34
b8:27:eb:d4:ee:4b,2018-10-16T13:23:44
b8:27:eb:d4:ee:4b,2018-10-16T13:23:48
b8:27:eb:d4:ee:4b,2018-10-16T13:23:53
b8:27:eb:ef:5e:d6,2018-10-16T13:23:58
b8:27:eb:d4:ee:4b,2018-10-16T13:24:03
b8:27:eb:d4:ee:4b,2018-10-16T13:24:07
b8:27:eb:d4:ee:4b,2018-10-16T13:24:13
b8:27:eb:d4:ee:4b,2018-10-16T13:24:18
b8:27:eb:d4:ee:4b,2018-10-16T13:24:22
b8:27:eb:d4:ee:4b,2018-10-16T13:24:28
b8:27:eb:d4:ee:4b,2018-10-16T13:24:34
b8:27:eb:d4:ee:4b,2018-10-16T13:24:40
b8:27:eb:d4:ee:4b,2018-10-16T13:24:45
b8:27:eb:d4:ee:4b,2018-10-16T13:24:54
b8:27:eb:d4:ee:4b,2018-10-16T13:24:59
b8:27:eb:d4:ee:4b,2018-10-16T13:25:03
b8:27:eb:d4:ee:4b,2018-10-16T13:25:11
b8:27:eb:d4:ee:4b,2018-10-16T13:25:18
b8:27:eb:d4:ee:4b,2018-10-16T13:25:26
b8:27:eb:d4:ee:4b,2018-10-16T13:25:30
b8:27:eb:d4:ee:4b,2018-10-16T13:25:34
b8:27:eb:d4:ee:4b,2018-10-16T13:25:39
b8:27:eb:d4:ee:4b,2018-10-16T13:25:46
b8:27:eb:d4:ee:4b,2018-10-16T13:25:51
b8:27:eb:d4:ee:4b,2018-10-16T13:25:57
b8:27:eb:d4:ee:4b,2018-10-16T13:26:01
b8:27:eb:d4:ee:4b,2018-10-16T13:26:08
b8:27:eb:d4:ee:4b,2018-10-16T13:26:13
b8:27:eb:ef:5e:d6,2018-10-16T13:26:18
b8:27:eb:d4:ee:4b,2018-10-16T13:26:24
b8:27:eb:d4:ee:4b,2018-10-16T13:26:28
b8:27:eb:d4:ee:4b,2018-10-16T13:26:33
b8:27:eb:d4:ee:4b,2018-10-16T13:26:38
b8:27:eb:d4:ee:4b,2018-10-16T13:26:47
b8:27:eb:ef:5e:d6,2018-10-16T13:26:58
b8:27:eb:ef:5e:d6,2018-10-16T13:27:03
b8:27:eb:ef:5e:d6,2018-10-16T13:27:15
b8:27:eb:ef:5e:d6,2018-10-16T13:27:23
b8:27:eb:ef:5e:d6,2018-10-16T13:27:28
b8:27:eb:ef:5e:d6,2018-10-16T13:27:33
b8:27:eb:ef:5e:d6,2018-10-16T13:27:38
b8:27:eb:d4:ee:4b,2018-10-16T13:27:50
b8:27:eb:d4:ee:4b,2018-10-16T13:27:56
b8:27:eb:d4:ee:4b,2018-10-16T13:28:00
b8:27:eb:d4:ee:4b,2018-10-16T13:28:04
b8:27:eb:d4:ee:4b,2018-10-16T13:28:09
b8:27:eb:d4:ee:4b,2018-10-16T13:28:14
b8:27:eb:d4:ee:4b,2018-10-16T13:28:19
b8:27:eb:d4:ee:4b,2018-10-16T13:28:24
b8:27:eb:d4:ee:4b,2018-10-16T13:28:29
b8:27:eb:d4:ee:4b,2018-10-16T13:28:40
b8:27:eb:d4:ee:4b,2018-10-16T13:28:47
b8:27:eb:d4:ee:4b,2018-10-16T13:28:51
b8:27:eb:d4:ee:4b,2018-10-16T13:28:58
b8:27:eb:d4:ee:4b,2018-10-16T13:29:04
b8:27:eb:d4:ee:4b,2018-10-16T13:29:08
b8:27:eb:d4:ee:4b,2018-10-16T13:29:13
b8:27:eb:ef:5e:d6,2018-10-16T13:29:18
b8:27:eb:d4:ee:4b,2018-10-16T13:29:28
b8:27:eb:a8:46:4b,2018-10-16T13:34:15
b8:27:eb:d4:ee:4b,2018-10-16T13:34:19
b8:27:eb:a8:46:4b,2018-10-16T13:34:24
b8:27:eb:d4:ee:4b,2018-10-16T13:34:29
b8:27:eb:a8:46:4b,2018-10-16T13:34:34
b8:27:eb:d4:ee:4b,2018-10-16T13:34:39
b8:27:eb:d4:ee:4b,2018-10-16T13:34:44
b8:27:eb:d4:ee:4b,2018-10-16T13:34:50
b8:27:eb:a8:46:4b,2018-10-16T13:34:54
b8:27:eb:d4:ee:4b,2018-10-16T13:34:59
b8:27:eb:a8:46:4b,2018-10-16T13:35:03
b8:27:eb:a8:46:4b,2018-10-16T13:35:07
b8:27:eb:a8:46:4b,2018-10-16T13:35:12
b8:27:eb:d4:ee:4b,2018-10-16T13:35:16
b8:27:eb:d4:ee:4b,2018-10-16T13:35:20
b8:27:eb:a8:46:4b,2018-10-16T13:35:25
b8:27:eb:a8:46:4b,2018-10-16T13:35:29
b8:27:eb:d4:ee:4b,2018-10-16T13:35:34
b8:27:eb:d4:ee:4b,2018-10-16T13:35:39
b8:27:eb:a8:46:4b,2018-10-16T13:35:44
b8:27:eb:a8:46:4b,2018-10-16T13:35:51
b8:27:eb:a8:46:4b,2018-10-16T13:35:57
b8:27:eb:ef:5e:d6,2018-10-16T13:36:04
b8:27:eb:d4:ee:4b,2018-10-16T13:36:08
b8:27:eb:a8:46:4b,2018-10-16T13:36:12
b8:27:eb:c2:5e:fa,2018-10-16T13:36:17
b8:27:eb:a8:46:4b,2018-10-16T13:36:22
b8:27:eb:a8:46:4b,2018-10-16T13:36:27
b8:27:eb:d4:ee:4b,2018-10-16T13:36:32
b8:27:eb:a8:46:4b,2018-10-16T13:36:38
b8:27:eb:d4:ee:4b,2018-10-16T13:36:44
b8:27:eb:d4:ee:4b,2018-10-16T13:36:50
b8:27:eb:d4:ee:4b,2018-10-16T13:36:55
b8:27:eb:d4:ee:4b,2018-10-16T13:37:02
b8:27:eb:d4:ee:4b,2018-10-16T13:37:06
b8:27:eb:d4:ee:4b,2018-10-16T13:37:10
b8:27:eb:d4:ee:4b,2018-10-16T13:37:14
b8:27:eb:a8:46:4b,2018-10-16T13:37:18
b8:27:eb:a8:46:4b,2018-10-16T13:37:23
b8:27:eb:a8:46:4b,2018-10-16T13:37:27
b8:27:eb:d4:ee:4b,2018-10-16T13:37:32
b8:27:eb:d4:ee:4b,2018-10-16T13:37:37
b8:27:eb:a8:46:4b,2018-10-16T13:37:41
b8:27:eb:a8:46:4b,2018-10-16T13:37:47
b8:27:eb:c2:5e:fa,2018-10-16T13:37:52
b8:27:eb:ef:5e:d6,2018-10-16T13:37:57
b8:27:eb:c2:5e:fa,2018-10-16T13:38:01
b8:27:eb:c2:5e:fa,2018-10-16T13:38:06
b8:27:eb:ef:5e:d6,2018-10-16T13:38:11
b8:27:eb:a8:46:4b,2018-10-16T13:38:15
b8:27:eb:c2:5e:fa,2018-10-16T13:38:19
b8:27:eb:ef:5e:d6,2018-10-16T13:38:24
b8:27:eb:a8:46:4b,2018-10-16T13:38:28
b8:27:eb:c2:5e:fa,2018-10-16T13:38:33
b8:27:eb:ef:5e:d6,2018-10-16T13:38:39
b8:27:eb:ef:5e:d6,2018-10-16T13:38:43
b8:27:eb:ef:5e:d6,2018-10-16T13:38:48
b8:27:eb:c2:5e:fa,2018-10-16T13:38:52
b8:27:eb:c2:5e:fa,2018-10-16T13:38:57
b8:27:eb:ef:5e:d6,2018-10-16T13:39:01
b8:27:eb:a8:46:4b,2018-10-16T13:39:06
b8:27:eb:ef:5e:d6,2018-10-16T13:39:10
b8:27:eb:c2:5e:fa,2018-10-16T13:39:14
b8:27:eb:ef:5e:d6,2018-10-16T13:39:18
b8:27:eb:c2:5e:fa,2018-10-16T13:39:22
b8:27:eb:ef:5e:d6,2018-10-16T13:39:27
b8:27:eb:ef:5e:d6,2018-10-16T13:39:31
b8:27:eb:ef:5e:d6,2018-10-16T13:39:38
b8:27:eb:ef:5e:d6,2018-10-16T13:39:42
b8:27:eb:ef:5e:d6,2018-10-16T13:39:46
b8:27:eb:ef:5e:d6,2018-10-16T13:39:51
b8:27:eb:ef:5e:d6,2018-10-16T13:39:56
b8:27:eb:ef:5e:d6,2018-10-16T13:40:00
b8:27:eb:ef:5e:d6,2018-10-16T13:40:04
b8:27:eb:c2:5e:fa,2018-10-16T13:40:09
b8:27:eb:ef:5e:d6,2018-10-16T13:40:14
b8:27:eb:c2:5e:fa,2018-10-16T13:40:19
b8:27:eb:c2:5e:fa,2018-10-16T13:40:23
b8:27:eb:ef:5e:d6,2018-10-16T13:40:28
b8:27:eb:c2:5e:fa,2018-10-16T13:40:33
b8:27:eb:c2:5e:fa,2018-10-16T13:40:37
b8:27:eb:ef:5e:d6,2018-10-16T13:40:41
b8:27:eb:ef:5e:d6,2018-10-16T13:40:46
b8:27:eb:ef:5e:d6,2018-10-16T13:40:51
b8:27:eb:ef:5e:d6,2018-10-16T13:40:56
b8:27:eb:ef:5e:d6,2018-10-16T13:41:00
b8:27:eb:ef:5e:d6,2018-10-16T13:41:04
b8:27:eb:c2:5e:fa,2018-10-16T13:41:08
b8:27:eb:ef:5e:d6,2018-10-16T13:41:13
b8:27:eb:ef:5e:d6,2018-10-16T13:41:17
b8:27:eb:ef:5e:d6,2018-10-16T13:41:22
b8:27:eb:ef:5e:d6,2018-10-16T13:41:26
b8:27:eb:ef:5e:d6,2018-10-16T13:41:31
b8:27:eb:c2:5e:fa,2018-10-16T13:41:35
b8:27:eb:ef:5e:d6,2018-10-16T13:41:42
b8:27:eb:ef:5e:d6,2018-10-16T13:41:46
b8:27:eb:ef:5e:d6,2018-10-16T13:41:51
b8:27:eb:ef:5e:d6,2018-10-16T13:41:58
b8:27:eb:ef:5e:d6,2018-10-16T13:42:03
b8:27:eb:ef:5e:d6,2018-10-16T13:42:08
b8:27:eb:c2:5e:fa,2018-10-16T13:42:15
b8:27:eb:c2:5e:fa,2018-10-16T13:42:19
b8:27:eb:ef:5e:d6,2018-10-16T13:42:23
b8:27:eb:ef:5e:d6,2018-10-16T13:42:28
b8:27:eb:c2:5e:fa,2018-10-16T13:42:32
b8:27:eb:ef:5e:d6,2018-10-16T13:42:37
b8:27:eb:ef:5e:d6,2018-10-16T13:42:41
b8:27:eb:ef:5e:d6,2018-10-16T13:42:46
b8:27:eb:ef:5e:d6,2018-10-16T13:42:51
b8:27:eb:c2:5e:fa,2018-10-16T13:42:55
b8:27:eb:c2:5e:fa,2018-10-16T13:43:01
b8:27:eb:c2:5e:fa,2018-10-16T13:43:06
b8:27:eb:a8:46:4b,2018-10-16T13:43:11
b8:27:eb:ef:5e:d6,2018-10-16T13:43:15
b8:27:eb:ef:5e:d6,2018-10-16T13:43:19
b8:27:eb:ef:5e:d6,2018-10-16T13:43:25
b8:27:eb:a8:46:4b,2018-10-16T13:43:29
b8:27:eb:ef:5e:d6,2018-10-16T13:43:35
b8:27:eb:a8:46:4b,2018-10-16T13:43:40
b8:27:eb:a8:46:4b,2018-10-16T13:43:44
b8:27:eb:ef:5e:d6,2018-10-16T13:43:52
b8:27:eb:ef:5e:d6,2018-10-16T13:43:57
b8:27:eb:ef:5e:d6,2018-10-16T13:44:04
b8:27:eb:ef:5e:d6,2018-10-16T13:44:09
b8:27:eb:ef:5e:d6,2018-10-16T13:44:14
b8:27:eb:a8:46:4b,2018-10-16T13:44:19
b8:27:eb:c2:5e:fa,2018-10-16T13:44:23
b8:27:eb:ef:5e:d6,2018-10-16T13:44:29
b8:27:eb:a8:46:4b,2018-10-16T13:44:34
b8:27:eb:ef:5e:d6,2018-10-16T13:44:39
b8:27:eb:d4:ee:4b,2018-10-16T13:44:43
b8:27:eb:c2:5e:fa,2018-10-16T13:44:47
b8:27:eb:ef:5e:d6,2018-10-16T13:44:53
b8:27:eb:c2:5e:fa,2018-10-16T13:44:57
b8:27:eb:ef:5e:d6,2018-10-16T13:45:01
b8:27:eb:ef:5e:d6,2018-10-16T13:45:07
b8:27:eb:ef:5e:d6,2018-10-16T13:45:14
b8:27:eb:c2:5e:fa,2018-10-16T13:45:19
b8:27:eb:c2:5e:fa,2018-10-16T13:45:24
b8:27:eb:c2:5e:fa,2018-10-16T13:45:29
b8:27:eb:c2:5e:fa,2018-10-16T13:45:34
b8:27:eb:c2:5e:fa,2018-10-16T13:45:39
b8:27:eb:c2:5e:fa,2018-10-16T13:45:43
b8:27:eb:c2:5e:fa,2018-10-16T13:45:49
b8:27:eb:c2:5e:fa,2018-10-16T13:45:55
b8:27:eb:a8:46:4b,2018-10-16T13:46:04
b8:27:eb:ef:5e:d6,2018-10-16T13:46:09
b8:27:eb:a8:46:4b,2018-10-16T13:46:13
b8:27:eb:ef:5e:d6,2018-10-16T13:46:19
b8:27:eb:c2:5e:fa,2018-10-16T13:46:29
b8:27:eb:ef:5e:d6,2018-10-16T13:46:34
b8:27:eb:a8:46:4b,2018-10-16T13:46:38
b8:27:eb:a8:46:4b,2018-10-16T13:46:44
b8:27:eb:ef:5e:d6,2018-10-16T13:46:49
b8:27:eb:c2:5e:fa,2018-10-16T13:46:53
b8:27:eb:c2:5e:fa,2018-10-16T13:46:58
b8:27:eb:ef:5e:d6,2018-10-16T13:47:03
b8:27:eb:c2:5e:fa,2018-10-16T13:47:07
b8:27:eb:ef:5e:d6,2018-10-16T13:47:14
b8:27:eb:ef:5e:d6,2018-10-16T13:47:19
b8:27:eb:c2:5e:fa,2018-10-16T13:47:23
b8:27:eb:ef:5e:d6,2018-10-16T13:47:28
